station_id,file,size_bytes,size_human,present
01431099999,01431099999.csv,743644,726.21 KiB,True
01434099999,01434099999.csv,674282,658.48 KiB,True
01435099999,01435099999.csv,1316382,1.26 MiB,True
01436099999,01436099999.csv,776731,758.53 KiB,True
01439099999,01439099999.csv,352657,344.39 KiB,True
01440099999,01440099999.csv,1409482,1.34 MiB,True
01441099999,01441099999.csv,1706738,1.63 MiB,True
01442099999,01442099999.csv,732307,715.14 KiB,True
01444099999,01444099999.csv,167014,163.10 KiB,True
01447099999,01447099999.csv,2355399,2.25 MiB,True
01448099999,01448099999.csv,1590097,1.52 MiB,True
01449099999,01449099999.csv,145390,141.98 KiB,True
01450099999,01450099999.csv,743433,726.01 KiB,True
01452099999,01452099999.csv,6870802,6.55 MiB,True
01453099999,01453099999.csv,168804,164.85 KiB,True
01455099999,01455099999.csv,794528,775.91 KiB,True
01459099999,01459099999.csv,370100,361.43 KiB,True
01460099999,01460099999.csv,583817,570.13 KiB,True
01461199999,01461199999.csv,556781,543.73 KiB,True
01462099999,01462099999.csv,604511,590.34 KiB,True
01463099999,01463099999.csv,119563,116.76 KiB,True
01464099999,01464099999.csv,1898451,1.81 MiB,True
01465099999,01465099999.csv,2469408,2.36 MiB,True
01466099999,01466099999.csv,121740,118.89 KiB,True
01467099999,01467099999.csv,743038,725.62 KiB,True
01468099999,01468099999.csv,568895,555.56 KiB,True
01469099999,01469099999.csv,1484257,1.42 MiB,True
01470099999,01470099999.csv,744570,727.12 KiB,True
01470399999,01470399999.csv,2224141,2.12 MiB,True
01471099999,01471099999.csv,707667,691.08 KiB,True
01473099999,01473099999.csv,797410,778.72 KiB,True
01476099999,01476099999.csv,691126,674.93 KiB,True
01477099999,01477099999.csv,1327398,1.27 MiB,True
01478099999,01478099999.csv,207894,203.02 KiB,True
01480099999,01480099999.csv,1300326,1.24 MiB,True
01481099999,01481099999.csv,694804,678.52 KiB,True
01482099999,01482099999.csv,1197109,1.14 MiB,True
01482599999,01482599999.csv,5804668,5.54 MiB,True
01483099999,01483099999.csv,18458,18.03 KiB,True
01484099999,01484099999.csv,670546,654.83 KiB,True
01484399999,01484399999.csv,5958429,5.68 MiB,True
01485099999,01485099999.csv,2086481,1.99 MiB,True
01486099999,01486099999.csv,108357,105.82 KiB,True
01488099999,01488099999.csv,613267,598.89 KiB,True
01488199999,01488199999.csv,6687795,6.38 MiB,True
01489099999,01489099999.csv,124310,121.40 KiB,True
01490099999,01490099999.csv,1393335,1.33 MiB,True
01492099999,01492099999.csv,2812281,2.68 MiB,True
01493099999,01493099999.csv,870813,850.40 KiB,True
01494099999,01494099999.csv,6867500,6.55 MiB,True
01495099999,01495099999.csv,1524204,1.45 MiB,True
02000199999,02000199999.csv,5670063,5.41 MiB,True
02013099999,02013099999.csv,493611,482.04 KiB,True
02019099999,02019099999.csv,2400982,2.29 MiB,True
02022099999,02022099999.csv,408929,399.34 KiB,True
02024099999,02024099999.csv,273302,266.90 KiB,True
02028099999,02028099999.csv,1047491,1022.94 KiB,True
02029099999,02029099999.csv,270285,263.95 KiB,True
02031099999,02031099999.csv,291876,285.04 KiB,True
02036099999,02036099999.csv,395050,385.79 KiB,True
02038099999,02038099999.csv,285046,278.37 KiB,True
02044099999,02044099999.csv,6462450,6.16 MiB,True
02045099999,02045099999.csv,1068543,1.02 MiB,True
02049099999,02049099999.csv,6387257,6.09 MiB,True
02055099999,02055099999.csv,382785,373.81 KiB,True
02064099999,02064099999.csv,288819,282.05 KiB,True
02071099999,02071099999.csv,1058017,1.01 MiB,True
02072099999,02072099999.csv,400550,391.16 KiB,True
02081099999,02081099999.csv,1858713,1.77 MiB,True
02091099999,02091099999.csv,1031702,1007.52 KiB,True
02095099999,02095099999.csv,2109679,2.01 MiB,True
02101099999,02101099999.csv,8696118,8.29 MiB,True
02102099999,02102099999.csv,227676,222.34 KiB,True
02103099999,02103099999.csv,256704,250.69 KiB,True
02110099999,02110099999.csv,299823,292.80 KiB,True
02119099999,02119099999.csv,2114366,2.02 MiB,True
