model,lead_hours,channel_index,channel,repaired_nrmse,raw_forecast_nrmse,repaired_nmae,raw_forecast_nmae,repaired_acc,raw_forecast_acc,repaired_rmse_phys,raw_forecast_rmse_phys,repaired_mae_phys,raw_forecast_mae_phys
OLD_Full,24,43,u_component_of_wind@250hPa,0.2578897223400081,0.27249425216033274,0.19510651207109744,0.20814311155381243,0.9684091612384835,0.9666872508844078,4.616136889028232,4.8775529454441955,3.492339111417542,3.725689790918651
OLD_Full,24,44,u_component_of_wind@300hPa,0.2711032040271992,0.29282018051585584,0.20422967184136429,0.22365389982453718,0.96301270156493,0.9582791192330353,4.617499423236245,4.987388540351117,3.478492207884746,3.809330722378137
OLD_Full,24,45,u_component_of_wind@400hPa,0.27488430891162363,0.2991650470346789,0.2070356248880685,0.22836266528102564,0.9607688038308263,0.9551250515334292,3.91982754710647,4.266068870415924,2.952310885496297,3.2564327425590673
OLD_Full,24,46,u_component_of_wind@500hPa,0.2723886734916725,0.2941033148659047,0.20697902497890527,0.22587208292821742,0.962045604866406,0.9581140095765994,3.2455185826054795,3.5042491229425825,2.4661608448813586,2.6912721179668844
OLD_Full,24,47,u_component_of_wind@600hPa,0.28033935970842977,0.3059320410913875,0.2138361210419087,0.23645136923092105,0.9605181784754573,0.9549481525100151,2.877491947690207,3.140183309280715,2.194881640863434,2.427011694438158
OLD_Full,24,48,u_component_of_wind@700hPa,0.2966485605029381,0.3272085442033109,0.22637045952391285,0.25275429318548437,0.9565255805109368,0.9487861914982656,2.6921563531889783,2.9694954792189843,2.0543658484716536,2.293805419110866
OLD_Full,24,49,u_component_of_wind@850hPa,0.31153817798124867,0.33761283871147846,0.2328649643211241,0.2561907807263645,0.9525753288488975,0.9458471565259456,2.5075739732324664,2.7174491548703186,1.8743324932124974,2.062082190961532
OLD_Full,24,50,u_component_of_wind@925hPa,0.30967775074077003,0.33448811268781165,0.22307517494693876,0.24687468900643317,0.9526923791094936,0.9464180218528238,2.4107764355734185,2.603919942087322,1.7365935308458011,1.9218677938097026
OLD_Full,24,51,u_component_of_wind@1000hPa,0.31875241263204473,0.3579708656173393,0.2314571615326318,0.26540783028982784,0.9500115601741963,0.9373810983674188,1.9201320695648458,2.1563800314909876,1.3942743672039435,1.59878971928471
OLD_Full,24,52,v_component_of_wind@50hPa,0.3585545098809507,0.3702141328245707,0.27445074587414237,0.28409624685502755,0.890219647748552,0.8854899924552573,2.611172456673761,2.6960836461268243,1.998686961920861,2.068930293991085
